"EN","EN-FULL","FR","FR-FULL"
"ATIP","Access to Information and Privacy (Office)","BAIPRP","Bureau d'accès à l'information et de protection des renseignements personnels "
"AAACT","Accessibility, Accommodations and Adaptive Computer Technology (Program)","AATIA","Programme d’accessibilité, d’adaptations et de technologie informatique adaptée"
"AAFC","Agriculture and Agri-Food Canada","AAC","Agriculture et Agroalimentaire Canada"
"AANDC","Aboriginal Affairs and Northern Development Canada","AADNC","Affaires autochtones et développement du nord Canada"
"ABED","Aboriginal Business and Entrepreneurship Development","PEA","Programme d’entrepreneuriat autochtone"
"ACOA","Atlantic Canada Opportunities Agency","APECA","Agence de promotion économique du Canada atlantique"
"ADM","Assistant Deputy Minister","SMA","sous-ministre adjointe"
"AECB","Atomic Energy Control Board","CCEA","Commission de contrôle de l'énergie atomique"
"AECL","Atomic Energy of Canada Limited","ÉACL","Énergie atomique du Canada limitée"
"AEN","Aboriginal Employees Network","REA","Réseau des employés autochtones"
"AFN","Assembly of First Nations","APN","Assemblée des Premières Nations"
"AHRC","Assisted Human Reproduction Canada","PAC","Procréation assistée Canada"
"AIRS","Accident/Incident Reporting System","SRAI","Système de rapports des accidents/incidents"
"AMDP","Aboriginal Management Development Program","PPGA","Programme de perfectionnement des gestionnaires autochtones"
"AoM","Area of Management","CG","composante de gestion"
"APA","Atlantic Pilotage Authority","APA","L'Administration de pilotage de l'Atlantique"
"APEP","Aboriginal Peoples Employment Program","PEA","Programme d'emploi pour les Autochtones"
"APEX","Association of Professional Executives of the Public Service of Canada","APEX","Association professionnelle des cadres supérieurs de la fonction publique du Canada"
"ATSSC","Administrative Tribunals Support Service of Canada","SCDATA","Service canadien d’appui aux tribunaux administratifs"
"BMS","Business Management Services","GSO","Gestion des Services Opérationnels"
"BSC","Balanced ScoreCard","TBP","Tableau de Bord Prospectif"
"BCP","Business Continuity Planning","PCO","Planification de la continuité des opérations "
"BCPs","Business Continuity Plans","PCO","Plans de continuité des opérations"
"BDC","Business Development Bank of Canada","BDC","Banque de développement du Canada"
"BoC","Bank of Canada","BdC","Banque du Canada"
